hash,name,cty,age,rank_1,rank_2,rank_3,rank_4,score_1,score_2,score_3,score_4,trans_1,trans_2,trans_3,trans_4,zscore_1,zscore_2,zscore_3,zscore_4,small_num_adjust,compscore,avg-z_mul-sna_plus-cs
59c29a0b97d22098e765d622836f2f20,MARLIE EICKHOFF,US,16,119.0,37.0,42.0,196.0,137 reps,283 reps,134 reps,20 reps,137.0,-1273.7582029278142,-1000.7462686567164,20.0,-0.08768869193879392,1.0089063047936733,0.0930895681975333,-0.8460717315504506,1.0,0.8617148429137513,0.9037737052892418
3e279b1d749824a6a986145ac9620665,ALANNAH DUNSTAN,AU,17,45.0,155.0,112.0,90.0,160 reps,238 reps,121 reps,30 reps,160.0,-1514.594837935174,-1108.2644628099172,30.0,0.8102938912189793,-0.0706575711230957,0.08033603475942154,0.17200584935450716,1.0,0.8617148429137513,1.1097093939662044
a11cd65771abd2d915f9cde57a185648,SAMANTHA FINK,US,17,40.0,161.0,124.0,78.0,163 reps,237 reps,119 reps,32 reps,163.0,-1520.985533453888,-1126.890756302521,32.0,0.9274220542395585,-0.09930422624587618,0.0781266314230195,0.3756213655354987,1.0,0.8617148429137513,1.1821812991518015
9b2d28bb3310bdd45e30850342a8649f,ALEXIS JENSON,US,17,45.0,62.0,232.0,66.0,160 reps,272 reps,90 reps,33 reps,160.0,-1325.2704831932774,-1490.0,33.0,0.8102938912189793,0.7779995868892524,0.035055540826159706,0.4774291236259945,1.0,0.8617148429137513,1.386909378553848
7c415d52a1d1a313a3e1bc3e1461fca7,VENLA VALKONEN,FI,17,63.0,89.0,203.0,54.0,153 reps,262 reps,91 reps,34 reps,153.0,-1375.8533260632496,-1473.6263736263736,34.0,0.5369948441709614,0.5512591248248854,0.036997738545381506,0.5792368817164902,1.0,0.8617148429137513,1.287836990228181
e966b7ab09a0e5758fbd224c6846e7f8,NATALIA FRUMKER,US,16,164.0,53.0,58.0,138.0,127 reps,275 reps,131 reps,26 reps,127.0,-1310.8129870129872,-1023.6641221374045,26.0,-0.478115902007391,0.8428061335011043,0.09037111098201095,-0.23522518300747594,1.0,0.8617148429137513,0.9166738827808134
42f984aac9ccf858b49978ebf034836c,ANNA DURHAM,US,16,100.0,109.0,116.0,88.0,142 reps,255 reps,120 reps,30 reps,142.0,-1413.6218487394958,-1117.5,30.0,0.10752491309550462,0.38195957981682316,0.07924053893845551,0.17200584935450716,1.0,0.8617148429137513,1.0468975632150739
73818f4387b8aff2b9440cd286de3475,TALITA SCHOLTZ,ZA,16,164.0,47.0,77.0,126.0,127 reps,278 reps,130 reps,28 reps,127.0,-1296.6675231243576,-1031.5384615384614,28.0,-0.478115902007391,0.9062139776680974,0.08943707696436994,-0.0316096668264844,1.0,0.8617148429137513,0.9831962143633993
2e4ed1f94b5d8b5929872d67a878d854,SOUAD DEVAL,FR,17,100.0,135.0,104.0,82.0,142 reps,244 reps,123 reps,31 reps,142.0,-1477.3507025761123,-1090.2439024390244,31.0,0.10752491309550462,0.0962913779940875,0.08247358758081862,0.27381360744500294,1.0,0.8617148429137513,1.0017407144426047
fdd2aac1c2d51c43cbdea07f0257b87b,ZAYNA MADURO,NL,17,172.0,132.0,39.0,94.0,125 reps,246 reps,135 reps,30 reps,125.0,-1465.3397212543555,-993.3333333333333,30.0,-0.5562013440211104,0.15013128299393724,0.09396887164255413,0.17200584935450716,1.0,0.8617148429137513,0.8266910079062234
